anatomical_entity	defined_class
http://purl.obolibrary.org/obo/UBERON_0004187	http://purl.obolibrary.org/obo/UPHENO_0068825
http://purl.obolibrary.org/obo/UBERON_0004066	http://purl.obolibrary.org/obo/UPHENO_0068828
http://purl.obolibrary.org/obo/UBERON_0008780	http://purl.obolibrary.org/obo/UPHENO_0068829
http://purl.obolibrary.org/obo/UBERON_0000388	http://purl.obolibrary.org/obo/UPHENO_0069159
http://purl.obolibrary.org/obo/UBERON_0003655	http://purl.obolibrary.org/obo/UPHENO_0069160
http://purl.obolibrary.org/obo/UBERON_0001473	http://purl.obolibrary.org/obo/UPHENO_0069956
http://purl.obolibrary.org/obo/UBERON_0000935	http://purl.obolibrary.org/obo/UPHENO_0068835
http://purl.obolibrary.org/obo/UBERON_0001904	http://purl.obolibrary.org/obo/UPHENO_0068836
http://purl.obolibrary.org/obo/UBERON_0000019	http://purl.obolibrary.org/obo/UPHENO_0069170
http://purl.obolibrary.org/obo/UBERON_0003889	http://purl.obolibrary.org/obo/UPHENO_0069171
http://purl.obolibrary.org/obo/CL_0000448	http://purl.obolibrary.org/obo/UPHENO_0086067
http://purl.obolibrary.org/obo/CL_0000449	http://purl.obolibrary.org/obo/UPHENO_0086068
http://purl.obolibrary.org/obo/UBERON_0001908	http://purl.obolibrary.org/obo/UPHENO_0068840
http://purl.obolibrary.org/obo/UBERON_0004053	http://purl.obolibrary.org/obo/UPHENO_0068843
http://purl.obolibrary.org/obo/UBERON_0001105	http://purl.obolibrary.org/obo/UPHENO_0069179
http://purl.obolibrary.org/obo/UBERON_0002435	http://purl.obolibrary.org/obo/UPHENO_0069180
http://purl.obolibrary.org/obo/UBERON_0002314	http://purl.obolibrary.org/obo/UPHENO_0069181
http://purl.obolibrary.org/obo/UBERON_0002432	http://purl.obolibrary.org/obo/UPHENO_0069184
http://purl.obolibrary.org/obo/UBERON_0009742	http://purl.obolibrary.org/obo/UPHENO_0068845
http://purl.obolibrary.org/obo/UBERON_0001343	http://purl.obolibrary.org/obo/UPHENO_0069185
http://purl.obolibrary.org/obo/UBERON_0002310	http://purl.obolibrary.org/obo/UPHENO_0069186
http://purl.obolibrary.org/obo/UBERON_0000127	http://purl.obolibrary.org/obo/UPHENO_0069188
http://purl.obolibrary.org/obo/UBERON_0000006	http://purl.obolibrary.org/obo/UPHENO_0069189
http://purl.obolibrary.org/obo/UBERON_0000007	http://purl.obolibrary.org/obo/UPHENO_0069190
http://purl.obolibrary.org/obo/UBERON_0004725	http://purl.obolibrary.org/obo/UPHENO_0069192
http://purl.obolibrary.org/obo/UBERON_0002429	http://purl.obolibrary.org/obo/UPHENO_0069193
http://purl.obolibrary.org/obo/UBERON_0000922	http://purl.obolibrary.org/obo/UPHENO_0068849
http://purl.obolibrary.org/obo/UBERON_0003077	http://purl.obolibrary.org/obo/UPHENO_0068851
http://purl.obolibrary.org/obo/UBERON_0001691	http://purl.obolibrary.org/obo/UPHENO_0069196
http://purl.obolibrary.org/obo/UBERON_0001213	http://purl.obolibrary.org/obo/UPHENO_0069199
http://purl.obolibrary.org/obo/UBERON_0001697	http://purl.obolibrary.org/obo/UPHENO_0069200
http://purl.obolibrary.org/obo/UBERON_0002422	http://purl.obolibrary.org/obo/UPHENO_0069202
http://purl.obolibrary.org/obo/UBERON_0005932	http://purl.obolibrary.org/obo/UPHENO_0069204
http://purl.obolibrary.org/obo/UBERON_0001456	http://purl.obolibrary.org/obo/UPHENO_0069206
http://purl.obolibrary.org/obo/UBERON_0001693	http://purl.obolibrary.org/obo/UPHENO_0069208
http://purl.obolibrary.org/obo/UBERON_0001692	http://purl.obolibrary.org/obo/UPHENO_0069211
http://purl.obolibrary.org/obo/UBERON_0005499	http://purl.obolibrary.org/obo/UPHENO_0068854
http://purl.obolibrary.org/obo/UBERON_0001211	http://purl.obolibrary.org/obo/UPHENO_0069212
http://purl.obolibrary.org/obo/UBERON_0002421	http://purl.obolibrary.org/obo/UPHENO_0080054
http://purl.obolibrary.org/obo/UBERON_0001695	http://purl.obolibrary.org/obo/UPHENO_0069213
http://purl.obolibrary.org/obo/UBERON_0003079	http://purl.obolibrary.org/obo/UPHENO_0068856
http://purl.obolibrary.org/obo/UBERON_0005928	http://purl.obolibrary.org/obo/UPHENO_0069217
http://purl.obolibrary.org/obo/UBERON_0000116	http://purl.obolibrary.org/obo/UPHENO_0069220
http://purl.obolibrary.org/obo/UBERON_0001689	http://purl.obolibrary.org/obo/UPHENO_0069222
http://purl.obolibrary.org/obo/UBERON_0002539	http://purl.obolibrary.org/obo/UPHENO_0069224
