molecular_function	defined_class
http://purl.obolibrary.org/obo/GO_0003824	http://purl.obolibrary.org/obo/UPHENO_0031742
http://purl.obolibrary.org/obo/GO_0003674	http://purl.obolibrary.org/obo/UPHENO_0031743
http://purl.obolibrary.org/obo/GO_0016757	http://purl.obolibrary.org/obo/UPHENO_0031744
http://purl.obolibrary.org/obo/GO_0016829	http://purl.obolibrary.org/obo/UPHENO_0086366
http://purl.obolibrary.org/obo/GO_0004197	http://purl.obolibrary.org/obo/UPHENO_0080025
http://purl.obolibrary.org/obo/GO_0001055	http://purl.obolibrary.org/obo/UPHENO_0080026
http://purl.obolibrary.org/obo/GO_0052598	http://purl.obolibrary.org/obo/UPHENO_0086367
http://purl.obolibrary.org/obo/GO_0004711	http://purl.obolibrary.org/obo/UPHENO_0080027
http://purl.obolibrary.org/obo/GO_0004745	http://purl.obolibrary.org/obo/UPHENO_0080028
http://purl.obolibrary.org/obo/GO_0004707	http://purl.obolibrary.org/obo/UPHENO_0080024
http://purl.obolibrary.org/obo/GO_0032451	http://purl.obolibrary.org/obo/UPHENO_0086368
http://purl.obolibrary.org/obo/GO_0035173	http://purl.obolibrary.org/obo/UPHENO_0086369
http://purl.obolibrary.org/obo/GO_0016491	http://purl.obolibrary.org/obo/UPHENO_0086370
http://purl.obolibrary.org/obo/GO_0016740	http://purl.obolibrary.org/obo/UPHENO_0086371
http://purl.obolibrary.org/obo/GO_0009975	http://purl.obolibrary.org/obo/UPHENO_0086372
http://purl.obolibrary.org/obo/GO_0016787	http://purl.obolibrary.org/obo/UPHENO_0086373
http://purl.obolibrary.org/obo/GO_0016853	http://purl.obolibrary.org/obo/UPHENO_0086374
http://purl.obolibrary.org/obo/GO_0016874	http://purl.obolibrary.org/obo/UPHENO_0086375
http://purl.obolibrary.org/obo/GO_0061783	http://purl.obolibrary.org/obo/UPHENO_0086376
http://purl.obolibrary.org/obo/GO_0005272	http://purl.obolibrary.org/obo/UPHENO_0031746
http://purl.obolibrary.org/obo/GO_0008121	http://purl.obolibrary.org/obo/UPHENO_0082998
http://purl.obolibrary.org/obo/GO_0004364	http://purl.obolibrary.org/obo/UPHENO_0082999
http://purl.obolibrary.org/obo/GO_0004035	http://purl.obolibrary.org/obo/UPHENO_0031747
http://purl.obolibrary.org/obo/GO_0008137	http://purl.obolibrary.org/obo/UPHENO_0083000
http://purl.obolibrary.org/obo/GO_0009008	http://purl.obolibrary.org/obo/UPHENO_0088613
http://purl.obolibrary.org/obo/GO_0003720	http://purl.obolibrary.org/obo/UPHENO_0031748
http://purl.obolibrary.org/obo/GO_0005249	http://purl.obolibrary.org/obo/UPHENO_0031750
http://purl.obolibrary.org/obo/GO_0140938	http://purl.obolibrary.org/obo/UPHENO_0088614
http://purl.obolibrary.org/obo/GO_0017095	http://purl.obolibrary.org/obo/UPHENO_0031751
http://purl.obolibrary.org/obo/GO_0001588	http://purl.obolibrary.org/obo/UPHENO_0083001
http://purl.obolibrary.org/obo/GO_0004129	http://purl.obolibrary.org/obo/UPHENO_0031752
http://purl.obolibrary.org/obo/GO_0055077	http://purl.obolibrary.org/obo/UPHENO_0031753
http://purl.obolibrary.org/obo/GO_0016772	http://purl.obolibrary.org/obo/UPHENO_0031754
http://purl.obolibrary.org/obo/GO_0004708	http://purl.obolibrary.org/obo/UPHENO_0031755
http://purl.obolibrary.org/obo/GO_0140674	http://purl.obolibrary.org/obo/UPHENO_0086377
http://purl.obolibrary.org/obo/GO_0019799	http://purl.obolibrary.org/obo/UPHENO_0031756
http://purl.obolibrary.org/obo/GO_0070738	http://purl.obolibrary.org/obo/UPHENO_0031757
http://purl.obolibrary.org/obo/GO_0009881	http://purl.obolibrary.org/obo/UPHENO_0080363
